SourceIP,DestinationIP,Application,PacketCount,State,Confidence
192.168.1.100,23.52.167.61,Netflix,3,CLASSIFIED,HIGH
192.168.1.50,172.217.0.100,Unknown,1,NEW,LOW
192.168.1.100,157.240.1.35,Facebook/Meta,3,CLASSIFIED,HIGH
35.186.224.47,192.168.1.100,Unknown,1,NEW,LOW
192.168.1.100,192.0.78.24,Cloudflare,3,CLASSIFIED,HIGH
17.253.144.10,192.168.1.100,Unknown,1,NEW,LOW
192.168.1.50,172.217.0.100,Unknown,1,NEW,LOW
13.107.42.14,192.168.1.100,Unknown,1,NEW,LOW
35.186.224.25,192.168.1.100,Unknown,1,NEW,LOW
192.168.1.100,99.86.0.100,TikTok,3,CLASSIFIED,HIGH
192.168.1.100,157.240.1.174,Instagram,3,CLASSIFIED,HIGH
192.168.1.100,35.186.224.25,Zoom,3,CLASSIFIED,HIGH
192.168.1.100,35.186.227.140,Telegram,3,CLASSIFIED,HIGH
157.240.1.35,192.168.1.100,Unknown,1,NEW,LOW
35.186.227.140,192.168.1.100,Unknown,1,NEW,LOW
192.168.1.100,185.199.108.153,HTTPS,2,CLASSIFIED,HIGH
192.168.1.50,172.217.0.100,Unknown,1,NEW,LOW
192.168.1.100,8.8.8.8,DNS,1,BLOCKED,MEDIUM
99.86.0.100,192.168.1.100,Unknown,1,NEW,LOW
192.168.1.100,8.8.8.8,DNS,1,CLASSIFIED,MEDIUM
104.16.85.20,192.168.1.100,Unknown,1,NEW,LOW
192.168.1.100,52.94.236.248,Amazon,3,CLASSIFIED,HIGH
142.250.185.206,192.168.1.100,Unknown,1,NEW,LOW
192.168.1.100,8.8.8.8,DNS,1,CLASSIFIED,MEDIUM
192.168.1.100,8.8.8.8,DNS,1,CLASSIFIED,MEDIUM
192.168.1.50,172.217.0.100,Unknown,1,NEW,LOW
104.244.42.65,192.168.1.100,Unknown,1,NEW,LOW
142.250.185.110,192.168.1.100,Unknown,1,NEW,LOW
192.168.1.100,104.244.42.65,Twitter/X,3,CLASSIFIED,HIGH
192.168.1.100,35.186.224.47,Spotify,3,CLASSIFIED,HIGH
192.168.1.100,17.253.144.10,Apple,3,CLASSIFIED,HIGH
52.94.236.248,192.168.1.100,Unknown,1,NEW,LOW
157.240.1.174,192.168.1.100,Unknown,1,NEW,LOW
23.52.167.61,192.168.1.100,Unknown,1,NEW,LOW
192.168.1.100,140.82.114.4,GitHub,3,CLASSIFIED,HIGH
140.82.114.4,192.168.1.100,Unknown,1,NEW,LOW
192.168.1.100,93.184.216.34,HTTPS,2,CLASSIFIED,HIGH
192.168.1.100,104.16.85.20,Discord,3,CLASSIFIED,HIGH
192.168.1.100,142.250.185.206,Google,3,BLOCKED,HIGH
192.0.78.24,192.168.1.100,Unknown,1,NEW,LOW
192.168.1.50,172.217.0.100,Unknown,1,NEW,LOW
192.168.1.100,142.250.185.110,YouTube,3,CLASSIFIED,HIGH
192.168.1.100,13.107.42.14,Microsoft,3,CLASSIFIED,HIGH
